epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,7357.1,0.88521,0.52433,0.85544,0.75207,0.55373,0.63143,0.4493,0.84143,0.4865,0.8416,0.001684,0.001684,0.001684
86,7511.44,0.87728,0.51911,0.85493,0.74924,0.55505,0.63141,0.44978,0.8411,0.48629,0.84154,0.001585,0.001585,0.001585
87,7627.29,0.88231,0.51954,0.85477,0.74891,0.55547,0.63105,0.45067,0.84093,0.48608,0.84146,0.001486,0.001486,0.001486
88,7779.56,0.8748,0.51568,0.85397,0.75065,0.55421,0.63105,0.45111,0.84055,0.48573,0.84139,0.001387,0.001387,0.001387
89,7938.43,0.87752,0.51668,0.85369,0.74763,0.55573,0.63047,0.45074,0.84043,0.48563,0.84134,0.001288,0.001288,0.001288
90,8097.12,0.87421,0.51331,0.85393,0.74802,0.5548,0.63116,0.45131,0.84033,0.48533,0.84129,0.001189,0.001189,0.001189
91,8275.74,0.8625,0.49498,0.84658,0.68941,0.57404,0.62969,0.45031,0.84006,0.48534,0.84126,0.00109,0.00109,0.00109
92,8423.32,0.85545,0.48858,0.84564,0.70224,0.57085,0.63005,0.44999,0.83999,0.48509,0.8412,0.000991,0.000991,0.000991
93,8579.26,0.85355,0.4865,0.84503,0.70616,0.56995,0.63092,0.45075,0.83976,0.48487,0.8411,0.000892,0.000892,0.000892
94,8723.65,0.85226,0.48418,0.84422,0.71094,0.5675,0.63029,0.4505,0.83946,0.48474,0.84106,0.000793,0.000793,0.000793
95,8867.34,0.84976,0.48123,0.8433,0.71342,0.56642,0.63056,0.45076,0.83942,0.48451,0.84095,0.000694,0.000694,0.000694
96,9012.62,0.84394,0.47767,0.84289,0.71817,0.5651,0.63115,0.45004,0.83926,0.48428,0.84089,0.000595,0.000595,0.000595
97,9166.97,0.84455,0.4773,0.84298,0.72705,0.56059,0.63024,0.4491,0.83887,0.48414,0.84082,0.000496,0.000496,0.000496
98,9321.42,0.8418,0.47395,0.84191,0.72978,0.55939,0.63085,0.45003,0.83882,0.48415,0.84081,0.000397,0.000397,0.000397
99,9475.81,0.84068,0.47272,0.84201,0.6984,0.56826,0.6308,0.45048,0.83873,0.48403,0.84078,0.000298,0.000298,0.000298
100,9629.31,0.83693,0.4694,0.84198,0.70001,0.5681,0.63126,0.45042,0.83862,0.48385,0.84074,0.000199,0.000199,0.000199
